team,sims,avg_points,win_group_pct,top_2_pct,third_place_pct,advance_pct
Mexico,1000,6.226,0.573,0.85,0.133,0.967
Spain,1000,6.814,0.663,0.891,0.085,0.967
United States,1000,5.942,0.573,0.842,0.134,0.967
France,1000,6.703,0.651,0.886,0.088,0.964
Argentina,1000,6.901,0.705,0.895,0.08,0.958
England,1000,6.176,0.543,0.824,0.135,0.936
South Korea,1000,5.797,0.356,0.764,0.192,0.916
Portugal,1000,5.881,0.484,0.79,0.137,0.899
Belgium,1000,5.957,0.562,0.787,0.14,0.893
Germany,1000,5.731,0.486,0.752,0.159,0.871
Netherlands,1000,5.42,0.44,0.714,0.185,0.862
Brazil,1000,5.294,0.374,0.688,0.214,0.856
Colombia,1000,5.281,0.354,0.722,0.169,0.848
Morocco,1000,5.202,0.373,0.674,0.219,0.845
Switzerland,1000,5.223,0.478,0.704,0.162,0.821
Croatia,1000,4.92,0.303,0.647,0.213,0.805
Uruguay,1000,4.567,0.213,0.604,0.247,0.788
Senegal,1000,4.467,0.197,0.582,0.283,0.767
Scotland,1000,4.234,0.197,0.484,0.34,0.734
Ecuador,1000,4.357,0.242,0.535,0.269,0.724
Australia,1000,4.251,0.211,0.526,0.287,0.708
Iran,1000,4.17,0.195,0.515,0.277,0.706
Sweden,1000,4.164,0.224,0.496,0.278,0.695
Türkiye,1000,4.029,0.192,0.476,0.311,0.684
Ivory Coast,1000,3.922,0.196,0.469,0.302,0.674
Japan,1000,3.98,0.223,0.481,0.289,0.672
Austria,1000,3.818,0.123,0.47,0.305,0.664
Canada,1000,3.587,0.17,0.458,0.295,0.631
Qatar,1000,3.609,0.206,0.443,0.244,0.612
Algeria,1000,3.455,0.118,0.401,0.311,0.585
Egypt,1000,3.49,0.148,0.386,0.297,0.573
Bosnia-Herzegovina,1000,3.251,0.146,0.395,0.299,0.562
Norway,1000,3.265,0.103,0.342,0.364,0.558
Saudi Arabia,1000,3.065,0.08,0.306,0.374,0.542
Ghana,1000,3.151,0.093,0.31,0.341,0.532
Czechia,1000,2.635,0.047,0.239,0.399,0.497
New Zealand,1000,2.964,0.095,0.312,0.286,0.496
Congo DR,1000,2.817,0.073,0.24,0.377,0.483
Tunisia,1000,2.923,0.113,0.309,0.248,0.453
Uzbekistan,1000,2.731,0.089,0.248,0.317,0.449
Jordan,1000,2.549,0.054,0.234,0.304,0.416
Curaçao,1000,2.589,0.076,0.244,0.27,0.415
Panama,1000,2.48,0.061,0.219,0.311,0.404
Cape Verde,1000,2.306,0.044,0.199,0.294,0.353
Iraq,1000,2.232,0.049,0.19,0.265,0.339
South Africa,1000,2.278,0.024,0.147,0.276,0.308
Paraguay,1000,2.4,0.024,0.156,0.268,0.307
Haiti,1000,1.951,0.056,0.154,0.227,0.294
