match_key,date_utc,season_slug,home_team,away_team,baseline_home_advance_pct,baseline_away_advance_pct,baseline_home_champion_pct,baseline_away_champion_pct,home_win_home_advance_pct,home_win_away_advance_pct,home_win_home_champion_pct,home_win_away_champion_pct,home_win_home_advance_change_pts,home_win_away_advance_change_pts,home_win_home_champion_change_pts,home_win_away_champion_change_pts,draw_home_advance_pct,draw_away_advance_pct,draw_home_champion_pct,draw_away_champion_pct,draw_home_advance_change_pts,draw_away_advance_change_pts,draw_home_champion_change_pts,draw_away_champion_change_pts,away_win_home_advance_pct,away_win_away_advance_pct,away_win_home_champion_pct,away_win_away_champion_pct,away_win_home_advance_change_pts,away_win_away_advance_change_pts,away_win_home_champion_change_pts,away_win_away_champion_change_pts,advance_leverage_pts,champion_leverage_pts,leverage_score
2026-06-25T01:00Z|South Africa|South Korea,2026-06-25T01:00Z,group-stage,South Africa,South Korea,0.2765,0.8604,0.0007,0.0059,1.0,0.573,0.003,0.004,72.35000000000001,-28.74000000000001,0.22999999999999998,-0.18999999999999997,0.0,1.0,0.0,0.009,-27.650000000000002,13.959999999999994,-0.06999999999999999,0.30999999999999994,0.0,1.0,0.0,0.003,-27.650000000000002,13.959999999999994,-0.06999999999999999,-0.29,142.70000000000002,0.8999999999999999,146.3
2026-06-25T20:00Z|Curaçao|Ivory Coast,2026-06-25T20:00Z,group-stage,Curaçao,Ivory Coast,0.2596,0.876,0.0001,0.0026,0.996,0.577,0.0,0.005,73.64,-29.900000000000006,-0.01,0.24000000000000002,0.0,1.0,0.0,0.003,-25.96,12.4,-0.01,0.04000000000000002,0.0,1.0,0.0,0.0,-25.96,12.4,-0.01,-0.26,141.9,0.5,143.9
2026-06-25T20:00Z|Ecuador|Germany,2026-06-25T20:00Z,group-stage,Ecuador,Germany,0.2488,1.0,0.0027,0.0535,1.0,1.0,0.012,0.056,75.12,0.0,0.9299999999999999,0.2500000000000002,0.003,1.0,0.0,0.052,-24.58,0.0,-0.27,-0.15000000000000013,0.0,1.0,0.0,0.046,-24.88,0.0,-0.27,-0.75,100.0,2.2,108.8
2026-06-25T01:00Z|Czechia|Mexico,2026-06-25T01:00Z,group-stage,Czechia,Mexico,0.2817,1.0,0.0013,0.0117,1.0,1.0,0.005,0.011,71.83,0.0,0.37,-0.07000000000000009,0.025,1.0,0.0,0.012,-25.669999999999998,0.0,-0.13,0.029999999999999992,0.0,1.0,0.0,0.008,-28.17,0.0,-0.13,-0.37,100.0,0.9000000000000001,103.6
2026-06-26T02:00Z|Paraguay|Australia,2026-06-26T02:00Z,group-stage,Paraguay,Australia,0.7007,0.8894,0.0006,0.004,1.0,0.746,0.002,0.002,29.93,-14.339999999999996,0.14,-0.2,0.99,1.0,0.001,0.004,28.93,11.060000000000002,0.04000000000000001,0.0,0.306,1.0,0.0,0.002,-39.47,11.060000000000002,-0.06,-0.2,94.8,0.4,96.39999999999999
2026-06-26T19:00Z|Senegal|Iraq,2026-06-26T19:00Z,group-stage,Senegal,Iraq,0.4502,0.0542,0.0048,0.0,0.654,0.0,0.003,0.0,20.380000000000003,-5.42,-0.17999999999999994,0.0,0.0,0.0,0.0,0.0,-45.019999999999996,-5.42,-0.48,0.0,0.0,0.193,0.0,0.0,-45.019999999999996,13.88,-0.48,0.0,84.7,0.3,85.9
2026-06-26T19:00Z|Norway|France,2026-06-26T19:00Z,group-stage,Norway,France,1.0,1.0,0.0033,0.1403,1.0,1.0,0.001,0.18,0.0,0.0,-0.22999999999999998,3.9699999999999984,1.0,1.0,0.005,0.108,0.0,0.0,0.17,-3.230000000000001,1.0,1.0,0.004,0.132,0.0,0.0,0.07,-0.8300000000000002,0.0,7.6,30.4
2026-06-26T02:00Z|Türkiye|United States,2026-06-26T02:00Z,group-stage,Türkiye,United States,0.1218,1.0,0.0002,0.0103,0.262,1.0,0.0,0.018,14.02,0.0,-0.02,0.7699999999999998,0.0,1.0,0.0,0.012,-12.18,0.0,-0.02,0.17,0.0,1.0,0.0,0.008,-12.18,0.0,-0.02,-0.22999999999999998,26.200000000000003,0.9999999999999999,30.200000000000003
2026-06-24T22:00Z|Scotland|Brazil,2026-06-24T22:00Z,group-stage,Scotland,Brazil,0.8637,1.0,0.0085,0.0528,1.0,1.0,0.01,0.054,13.629999999999997,0.0,0.14999999999999997,0.11999999999999997,1.0,1.0,0.009,0.044,13.629999999999997,0.0,0.04999999999999987,-0.8800000000000002,0.816,1.0,0.005,0.067,-4.770000000000008,0.0,-0.35000000000000003,1.4200000000000004,18.400000000000006,2.8000000000000007,29.60000000000001
2026-06-25T23:00Z|Tunisia|Netherlands,2026-06-25T23:00Z,group-stage,Tunisia,Netherlands,0.0,1.0,0.0,0.0318,0.0,1.0,0.0,0.058,0.0,0.0,0.0,2.62,0.0,1.0,0.0,0.029,0.0,0.0,0.0,-0.28,0.0,1.0,0.0,0.019,0.0,0.0,0.0,-1.2800000000000002,0.0,3.900000000000001,15.600000000000003
2026-06-24T22:00Z|Morocco|Haiti,2026-06-24T22:00Z,group-stage,Morocco,Haiti,1.0,0.0128,0.0374,0.0,1.0,0.0,0.042,0.0,0.0,-1.28,0.45999999999999996,0.0,1.0,0.0,0.022,0.0,0.0,-1.28,-1.5400000000000005,0.0,1.0,0.012,0.049,0.0,0.0,-0.08000000000000004,1.16,0.0,1.2,2.7,12.0
2026-06-25T23:00Z|Japan|Sweden,2026-06-25T23:00Z,group-stage,Japan,Sweden,1.0,0.9606,0.0078,0.0047,1.0,0.963,0.005,0.003,0.0,0.23999999999999577,-0.27999999999999997,-0.17,1.0,1.0,0.012,0.004,0.0,3.939999999999999,0.42000000000000004,-0.07,1.0,1.0,0.001,0.008,0.0,3.939999999999999,-0.6799999999999999,0.33,3.7000000000000033,1.6,10.100000000000003
